stockname,Mean_return,Standard_deviation,VAR_90,VAR_95,VAR_99,Beta
AARTIDRUGS.NS,0.001746483,0.025498233,-0.022244247,-0.03165523,-0.058204026,0.72169708
AARTIIND.NS,0.001554828,0.020626431,-0.021785364,-0.028995452,-0.047582856,0.498090835
ABB.NS,0.000430452,0.018906658,-0.019240009,-0.025654583,-0.042871547,0.612227782
ABBOTINDIA.NS,0.001038778,0.016755039,-0.016066115,-0.021364453,-0.035566269,0.091011078
ABCAPITAL.NS,-0.000772704,0.026473527,-0.028569828,-0.037484102,-0.069234092,1.188813098
ABFRL.NS,0.000314364,0.024697798,-0.025457594,-0.035425316,-0.05519521,0.657117831
ACC.NS,0.000455604,0.018190943,-0.019462395,-0.028287896,-0.044367162,1.029425612
ADANIPORTS.NS,0.001186308,0.022765888,-0.021689476,-0.029804532,-0.059914448,1.174895412
ADANIPOWER.NS,0.001245809,0.034834724,-0.032469227,-0.049150591,-0.087938051,0.668000636
ADANITRANS.NS,0.002888984,0.031160476,-0.028769772,-0.040635028,-0.068089428,1.267289746
ADVENZYMES.NS,0.000806463,0.029162938,-0.027019966,-0.035638971,-0.063700834,0.333202482
AEGISCHEM.NS,0.00144767,0.027433719,-0.027306395,-0.038561624,-0.057872693,0.368818502
AIAENG.NS,0.000955806,0.020176236,-0.022237839,-0.029062886,-0.045292086,0.451910577
AJANTPHARM.NS,0.00047906,0.020555587,-0.021843727,-0.031107113,-0.054666016,0.207927726
AKZOINDIA.NS,0.000628487,0.016551781,-0.016238658,-0.02219084,-0.043759609,0.542410232
ALKEM.NS,0.000814755,0.017149404,-0.018202966,-0.0237774,-0.035802072,0.109544067
ALKYLAMINE.NS,0.002678486,0.028008896,-0.025438063,-0.034336431,-0.060503027,1.00697819
ALLCARGO.NS,0.000171438,0.023594813,-0.024115308,-0.032814376,-0.059891982,0.301371532
AMARAJABAT.NS,0.000295888,0.019641352,-0.020523697,-0.028930854,-0.049218724,0.750066697
AMBUJACEM.NS,0.000464971,0.019001379,-0.02148564,-0.028348184,-0.050178704,1.09407152
APLAPOLLO.NS,0.001958879,0.02391886,-0.022111211,-0.030410967,-0.055717653,0.780050271
APLLTD.NS,0.0005962,0.020999487,-0.019565686,-0.027479527,-0.046633441,0.424252312
APOLLOHOSP.NS,0.000756114,0.021283336,-0.022366247,-0.027615163,-0.053553519,0.51330487
ASIANPAINT.NS,0.000977337,0.016237994,-0.01573815,-0.022027498,-0.037575901,0.67323503
ASTERDM.NS,0.000150448,0.026047436,-0.02534842,-0.033432435,-0.074587357,0.441448219
ASTRAZEN.NS,0.001274171,0.024323387,-0.022430185,-0.029699557,-0.060013969,0.327136635
ATUL.NS,0.001406299,0.018717247,-0.017252688,-0.025578792,-0.046230794,0.316804555
AUBANK.NS,0.001032522,0.026462131,-0.024928596,-0.042073324,-0.083647178,1.387683261
AUROPHARMA.NS,0.000667389,0.026051693,-0.024120804,-0.033580172,-0.056593912,0.891789542
AVANTIFEED.NS,0.001602913,0.031363793,-0.029061016,-0.040180752,-0.073651595,0.689166356
AXISBANK.NS,0.00084301,0.024225753,-0.022299997,-0.030571718,-0.057664577,1.42803285
BAJAJ-AUTO.NS,0.00062654,0.016708661,-0.015894331,-0.02299962,-0.041253208,0.5599592
BAJAJCON.NS,-9.33E-05,0.021876111,-0.020803192,-0.030117065,-0.053882608,0.868593801
